Region ,District ,Sector ,Municipality,Order Date ,Description of the Violation,Order Amount of Environmental Penalty per Violation 
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2023-11-22,"Failure to report exceedance to the ministry which is a violation of Condition 15(2) of Environmental Compliance Approval No. 3074-CA6KLM and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.
",2493.75
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2023-11-22,"Violation of the phenolics limit under condition 5(1) of Environmental Compliance Approval No. 3074-CA6KLM and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",7700.00
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of acute lethality test -Daphnia magna under condition 5(3) of Environmental Compliance Approval No. 2876-B3AQTS, and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.



",9400.00
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of acute lethality test -Daphnia magna under condition 5(3) of Environmental Compliance Approval No. 2876-B3AQTS, and of section 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",9400.00
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of acute lethality test -Daphnia magna under condition 5(3) of Environmental Compliance Approval No. 2876-B3AQTS, and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",9400.00
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of the iron (total) concentration limit under condition 5(2) of Environmental Compliance Approval No. 2876-B3AQTS and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. 
",1541.60
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of the iron (total) concentration limit under condition 5(2) of Environmental Compliance Approval No. 2876-B3AQTS and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.
",8055.80
Northern,North Bay,Metal Mining,Kearney,2023-06-13,"Violation of the monthly average iron (total) concentration limit under condition 5(2) of Environmental Compliance Approval No. 2876-B3AQTS and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1344.20
Southwest,Sarnia,Petroleum,St. Clair Township,2023-05-05,"Violation of the Total Organic Carbon (TOC) daily plant loading limit, which is a violation of Condition 9 (1) of Environmental Compliance Approval 2413-9HHJ92 and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1767.00
Southwest,Sarnia,Petroleum,St. Clair Township,2023-04-18,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2023-04-18,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2023-04-18,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2023-04-18,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,Sarnia,2023-05-05,"Discharge of oil / hydro carbons into the St. Clair River that may impair the quality of the water, in violation of Section 30(1) of the Ontario Water Resources Act.",17250.00
Southwest,Sarnia,Petroleum,Sarnia,2023-06-15,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.
",65000.00
Southwest,Sarnia,Electric Power,Sarnia,2023-02-02,"Low pH discharge into the St. Clair River that may impair the quality of the water, in violation of subsection 30(1) of the Ontario Water Resources Act.
",14100.00
Southwest,Sarnia,Electric Power,Sarnia,2023-02-02,"Failure to report a low pH discharge which may interfere with the Ministry's capacity to protect and conserve the natural environment, in violation of subsection 30(2) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",20000.00
Northern,Timmins,Industrial Minerals,Unorganized Township of Reeves,2022-02-28,"Violation of acute lethality test - rainbow trout under condition 10(1) of Environmental Compliance Approval No. 1850-BQ8JYV, and of section 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",7000.00
Southwest,Sarnia,Inorganic Chemicals,St. Clair Township,2022-01-20,"Violation of the polyethylene glycol dimethyl ether (Selexol Solvent) limit under condition 7(1) of Environmental Compliance Approval No. 5252-ASUK4D, and of section 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",10000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2022-02-22,"Discharge of mid-range hydrocarbons  into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",22750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2022-07-07,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,Sarnia,2022-05-05,"Total discharge is more than 225 kg of sulphur dioxide in a 24-hour period but less than 450 kg from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18; Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",12538.50
West Central,Hamilton,Petroleum,Haldimand County,2022-09-09,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18; Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2022-09-09,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18; Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2022-09-09,"Total discharge is greater than or equal to 450 kg of sulphur dioxide in a 24-hour period but less than 900 kg from one or more pieces of acid gas combustion equipment at a petroleum facility,  which is a violation of subsection 5(1) of O. Reg. 530/18; Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",33500.00
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste. Marie,2021-07-29,"Violation of acute lethality test - daphnia magna, which is a violation of Section 17 of O. Reg. 214/95 - Effluent Monitoring and Effluent Limits - Iron and Steel Manufacturing Sector (now revoked).",9750.00
Northern,Thunder Bay,Metal Mining,"Unorganized, District of Thunder Bay",2021-09-16,"Violation of acute lethality test - rainbow trout, which is a violation of section 19 of O. Reg. 560/94 - Effluent Monitoring and Effluent Limits - Metal Mining Sector (now revoked).",7000.00
Northern,Thunder Bay,Metal Mining,"Unorganized, District of Thunder Bay",2021-09-16,"Violation of the daily concentration limit for total suspended solids (TSS), which is a violation of subsection 18(1) of O. Reg. 560/94 - Effluent Monitoring and Effluent Limits - Metal Mining Sector (now revoked).",1750.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2021-06-16,"Violation of acute lethality test - rainbow trout, which is a violation of section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector (now revoked).",12500.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2021-06-16,"Violation of the monthly average effluent concentration for nitrate, which is a violation of condition 5(1) of Environmental Compliance Approval no. 2446-BJ3KG and Subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1860.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2021-06-16,"Violation of the monthly average effluent concentration for nitrate, which is a violation of condition 5(1) of Environmental Compliance Approval no. 2446-BJ3KG and Subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1640.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2021-06-16,"Violation of the monthly average effluent concentration for nitrate, which is a violation of condition 5(1) of Environmental Compliance Approval no. 2446-BJ3KG and Section 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1640.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2021-06-16,"Violation of the monthly average effluent concentration for nitrate, which is a violation of condition 5(1) of Environmental Compliance Approval no. 2446-BJ3KG and Subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1640.00
Northern,Timmins,Metal Mining,Matachewan,2021-10-25,"Violation of the daily concentration limit for total suspended solids (TSS), which is a violation of condition 13 of Environmental Compliance Approval no. 2299-AXZJVF and subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",6499.50
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-01-21,"Total discharge is greater than or equal to 450 kg of sulphur dioxide in a 24-hour period but less than 900 kg from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",31908.80
Southwest,Sarnia,Petroleum,Sarnia,2021-10-01,"Violation of the benzene daily plant loading limit which is a violation of condition 2(6) of Environmental Compliance Approval no. 8277-ABTHF4 and subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1066.00
Southwest,Sarnia,Petroleum,Sarnia,2021-10-01,"Violation of the benzene daily plant loading limit which is a violation of condition 2(6) of Environmental Compliance Approval no. 8277-ABTHF4 and subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",1209.00
Southwest,Sarnia,Petroleum,Sarnia,2021-05-03,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-05-03,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",77000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-10-01,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",61288.50
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2021-06-15,"Violation of pH limit by 1 or more pH units, which is a violation of condition 8(6) of Environmental Compliance Approval no. 6643-B2RHTJ and subsection 182.1 (1)(a)(v) of the Environmental Protection Act; R.S.O. 1990, c. E.19.",4000.00
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2021-06-15,"Violation of pH limit by 1 or more pH units, which is a violation of condition 8(6) of Environmental Compliance Approval no. 6643-B2RHTJ and  subclause182.1 (1)(a)(v) of the Environmental Protection Act; R.S.O. 1990, c. E.19.",4000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-03-02,"Violation of the volatile suspended solids (VSS) daily plant loading limit, which is a violation of subsection 14(1) of O. Reg. 537/93: Effluent Monitoring and Effluent Limits - Petroleum Sector",2225.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-03-02,"Violation of the volatile suspended solids (VSS) daily plant loading limit, which is a violation of subsection 14(1) of O. Reg. 537/93: Effluent Monitoring and Effluent Limits - Petroleum Sector (now revoked).",3497.70
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydrocarbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydrocarbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydrocarbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydro carbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydrocarbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-04-06,"Discharge of mid-range hydrocarbons into Talfourd Creek that may impair the quality of the water in violation of subsection 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",21750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2021-06-16,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",73000.00
Southwest,Sarnia,Petroleum,Sarnia,2021-10-15,"Total discharge is greater than or equal to 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",65000.00
West Central,Hamilton,Petroleum,Haldimand County,2021-02-08,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2021-09-07,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2021-12-15,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2021-12-15,"Total discharge is greater than 900 kg of SO2 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Niagara,Metal Mining,Port Colborne,2021-02-08,"Violation of acute lethality test - rainbow trout under section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector (now revoked).",7200.00
West Central,Niagara,Metal Mining,Port Colborne,2021-02-08,"Violation of acute lethality test - rainbow trout under section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector (now revoked).",7200.00
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste. Marie,2020-02-14,"Violation of acute lethality test - Daphnia magna at sampling point 0100 under section 17 of O. Reg. 214/95, Effluent Monitoring and Effluent Limits - Iron and Steel Manufacturing",8125.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1345.50
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1209.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1209.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1209.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-03-02,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-09-25,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-09-25,Violation of the Total Suspended Solids daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1209.00
Northern,Sudbury,Pulp & Paper,Espanola,2020-09-25,Violation of the Biochemical Oxygen Demand daily plant loading which is a violation of Subsection 14(1) of O. Reg. 760/93; Effluent Monitoring and Effluent Limits - Pulp and Paper Sector,1066.00
Southwest,London,Industrial Minerals,St. Marys,2020-01-17,Violation of the Total Suspended Solids parameter limits which is a violation of Subsection 18(1) of O. Reg. 561/94; Effluent Monitoring and Effluent Limits - Industrial Minerals Sector,6523.80
Southwest,Owen Sound,Electric Power,Kincardine,2020-11-06,"Violation of acute lethality test - Rainbow Trout under Subsection 17(1) of O. Reg. 215/95, Effluent Monitoring and Effluent Limits - Electric Power Generation Sector",9750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2020-01-07,"Violation of acute lethality test - Daphnia magna at control point 0400 under section 15 of O. Reg. 537/93, Effluent Monitoring and Effluent Limits - Petroleum Sector",12750.00
Southwest,Sarnia,Petroleum,St. Clair Township,2020-02-20,"Total discharge is greater than 900 kg of S02 in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of Subsection 5(1) of O. Reg. 530/18; Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities",79000.00
